genome,domain,phylum,class,order,family,genus,species,source,assembly,accession,sample,substrate,country,origin,assign,database
EBC_084.34,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. 1,This paper,MAG,NA,Shoyu,soy,United States of America,"Liberty, TN, United States of America",prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS11-22__bin.10,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. 2,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS07-22__bin.5,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. 3,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS11-22__bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. 4,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2134_73322__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. 5,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2138_73322__bin.7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Vibrionaceae,Salinivibrio,Salinivibrio costicola,Carlino et al. 2024,MAG,NA,brine,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF56__bin.5,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Savagea,Savagea serpentis,Carlino et al. 2024,MAG,NA,parkia_biglobosa_seeds,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF15__bin.6,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Savagea,Savagea sp. 1,Carlino et al. 2024,MAG,NA,melon_seeds,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF47__bin.6,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Savagea,Savagea sp. 2,Carlino et al. 2024,MAG,NA,ceiba_pentandra,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_008694105.1_ASM869410v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus harbinensis,NCBI,RefSeq,GCF_008694105.1,Makgeolli,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001435585.1_ASM143558v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus perolens,NCBI,RefSeq,GCF_001435585.1,Orange lemonade,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_000469325.1_ASM46932v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Schleiferilactobacillus shenzhenensis,NCBI,RefSeq,GCF_000469325.1,Fermented dairy beverage,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001435975.1_ASM143597v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus collinoides,NCBI,RefSeq,GCF_001435975.1,Fermenting apple juice,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001433995.1_ASM143399v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus kimchicus,NCBI,RefSeq,GCF_001433995.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_008033155.1_ASM803315v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus malefermentans,NCBI,RefSeq,GCF_008033155.1,Kimchi,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002217925.1_ASM221792v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus mixtipabuli,NCBI,RefSeq,GCF_002217925.1,Silage,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001434895.1_ASM143489v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus odoratitofui,NCBI,RefSeq,GCF_001434895.1,Fermented brine used for stinky tofu production,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_000740055.1_ASM74005v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus oryzae,NCBI,RefSeq,GCF_000740055.1,Fermented rice grain,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001702155.1_ASM170215v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus paracollinoides,NCBI,RefSeq,GCF_001702155.1,Beer,grains,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002217985.1_ASM221798v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus pentosiphilus,NCBI,RefSeq,GCF_002217985.1,Silage,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_004354595.1_ASM435459v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus silagei,NCBI,RefSeq,GCF_004354595.1,Silage,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_002583405.1_ASM258340v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus silagincola,NCBI,RefSeq,GCF_002583405.1,Silage,NA,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
GCF_001436595.1_ASM143659v1_genomic,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus similis,NCBI,RefSeq,GCF_001436595.1,Fermented cane molasses at alcohol plants,fruit,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ChaconVargasK_2020__SRS6087091__bin.16,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus sp.,Carlino et al. 2024,MAG,NA,aguamiel_pulque,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_080.9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,Serratia marcescens,This paper,MAG,NA,Dofu mold,soy,United States of America,"Liberty, TN, United States of America",prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_2__P2584__bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia_J,Serratia_J grimesii,Carlino et al. 2024,MAG,NA,cheese_1_before_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS08-29__bin.64,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia_J,Serratia_J liquefaciens,Carlino et al. 2024,MAG,NA,cheese_1_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_2020__ERS3967741__bin.11,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia_J,Serratia_J proteamaculans,Carlino et al. 2024,MAG,NA,water_kefir_coconut,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__V-21__bin.39,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Shewanellaceae,Shewanella,Shewanella baltica,Carlino et al. 2024,MAG,NA,whey,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeonardSR_2016__SRS1659775__bin.2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Siccibacter,Siccibacter turicensis,Carlino et al. 2024,MAG,NA,spinach_spiked_with_stec,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF45__bin.7,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_C,Siminovitchia,Siminovitchia sp.,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__H3_S87__bin.24,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus sp004557565,Carlino et al. 2024,MAG,NA,milk_kefir_contamined,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_100__bin.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Specibacter,Specibacter sp. 1,Carlino et al. 2024,MAG,NA,taleggio,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__C06-19__bin.13,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Micrococcaceae,Specibacter,Specibacter sp. 2,Carlino et al. 2024,MAG,NA,cured_meat_after_ripening,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__KM-2G__bin.45,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp.,Carlino et al. 2024,MAG,NA,ripened_cheese_c2_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2018__SRS2920551__bin.15,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium sp000814685,Carlino et al. 2024,MAG,NA,pu-erh_tea,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
YulandiA_2020__SRS6115052__bin.6,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium thalpophilum,Carlino et al. 2024,MAG,NA,tempeh,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__SC012_71775__bin.8,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp001713415,Carlino et al. 2024,MAG,NA,soppressata_di_calabria,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__SC012_71775__bin.18,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium yanoikuyae,Carlino et al. 2024,MAG,NA,soppressata_di_calabria,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-19__bin.2,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. 1,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.9,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. 2,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-16__bin.40,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. 3,Carlino et al. 2024,MAG,NA,pre_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-17__bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. 4,Carlino et al. 2024,MAG,NA,pre_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.15,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp003688625,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__J-18__bin.32,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_G,Sphingomonas_G sp.,Carlino et al. 2024,MAG,NA,post_processed_vegetables,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_133.14,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Spiroplasma,Spiroplasma citri,This paper,MAG,NA,Queens SF Mukeunji,vegetable,United States of America,"San Francisco, CA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK066-2-L-48h-05B8_S69__bin.3,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus sp. 1,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.2,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus sp. 2,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK035-2-G-48h-04B2_S111__bin.2,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus sp. 3,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_grain,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MortensenS_xxxx__WK069-1-L-48h-05C9_S79__bin.1,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus sp024385605,Carlino et al. 2024,MAG,NA,water_kefir_figs_dried_liquid,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__GO013_71775__bin.23,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina sp.,Carlino et al. 2024,MAG,NA,gorgonzola,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
Vreta_bin.2,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,Kothe et al. 2023a,MAG,NA,Swedish vreta pea miso,legumes,Denmark,"Copenhagen, Denmark",prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0136-001_Staphylococcus_aureus_18SBCL679,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Whon et al. 2021,draft,NA,cheese,dairy,Switzerland,Switzerland,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2171_73322__bin.8,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus caprae,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_108__bin.7,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus carnosus,Carlino et al. 2024,MAG,NA,salame_felino,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_090.9,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus cohnii,This paper,MAG,NA,Lacto Elderberries,vegetable,Belgium,"Antwerp, Belgium",prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF45__bin.9,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus condimenti,Carlino et al. 2024,MAG,NA,cassava,vegetable,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q06-25__bin.5,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,Carlino et al. 2024,MAG,NA,cheese_1_before_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__RC17-F-AR__bin.38,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum,Carlino et al. 2024,MAG,NA,ripened_cheese_a_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q06-30__bin.11,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum_A,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
KumarJ_2019__SRS4562503__bin.5,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus gallinarum,Carlino et al. 2024,MAG,NA,kinema,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LiZ_2018__SRS2920551__bin.19,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus kloosii,Carlino et al. 2024,MAG,NA,pu-erh_tea,sugar,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_090.4,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus nepalensis,This paper,MAG,NA,Lacto Elderberries,vegetable,Belgium,"Antwerp, Belgium",prokaryote,MiFoDB_gamma_v1_prok
L1.2_bin.2,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus pasteuri,Kothe et al. 2023b,MAG,NA,novel miso,legumes,Denmark,"Copenhagen, Denmark",prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF83__bin.7,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus pettenkoferi,Carlino et al. 2024,MAG,NA,parkia_biglobosa_seeds,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q05-26__bin.2,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus rostri,Carlino et al. 2024,MAG,NA,cheese_2_before_ripening;rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_FFoQSI_1__DC18-F-AR__bin.16,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus saprophyticus,Carlino et al. 2024,MAG,NA,ripened_cheese_a_rind,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_13__bin.14,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus shinii,Carlino et al. 2024,MAG,NA,cacciatore_italiano,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
LeechJ_xxxx__AF24__bin.1,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus simulans,Carlino et al. 2024,MAG,NA,locust_bean,seed,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
ODFM-BA-A-0167-001_Staphylococcus_succinus_BC15,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus succinus,Whon et al. 2021,draft,NA,cheese,dairy,United States of America,United States of America,prokaryote,MiFoDB_gamma_v1_prok
PB_bin.2,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri,Kothe et al. 2023b,MAG,NA,novel miso,legumes,Denmark,"Copenhagen, Denmark",prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_89__bin.1,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,Carlino et al. 2024,MAG,NA,norcino_umbro,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__M-29__bin.23,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,Carlino et al. 2024,MAG,NA,cheese_rind_1_t45,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
C-R06.bin.7,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_A,Kothe et al. 2021,MAG,NA,raw araxa cheese,dairy,Brazil,"Minas Gerais, Brazil",prokaryote,MiFoDB_gamma_v1_prok
XieM_2019__SAMC044639__bin.22,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_AA,Carlino et al. 2024,MAG,NA,dajiang-meju,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
SEM_41_S58.19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_AJ,This paper,MAG,NA,Kimchi brine 48h,vegetable,United States of America,"Stanford, CA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_112__bin.12,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_Q,Carlino et al. 2024,MAG,NA,salame_felino,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DS_112__bin.19,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas nematodicola,Carlino et al. 2024,MAG,NA,salame_felino,meat,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__PB007_73417__bin.10,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus agalactiae,Carlino et al. 2024,MAG,NA,pecorino_bagnolese,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshL_xxxx__H3_S87__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus alactolyticus,Carlino et al. 2024,MAG,NA,milk_kefir_contamined,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_CSIC_1__P2230_73323__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;interior,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshAM_2017__ERS1739834__bin.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius,Carlino et al. 2024,MAG,NA,NA,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_104__bin.4,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus macedonicus,Carlino et al. 2024,MAG,NA,provolone_del_monaco,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__PM003_71775__bin.3,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis subsp. 1,Carlino et al. 2024,MAG,NA,provolone_del_monaco,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_1__PM012_71775__bin.11,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis subsp. 2,Carlino et al. 2024,MAG,NA,provolone_del_monaco,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_115__bin.29,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis_BG,Carlino et al. 2024,MAG,NA,provola_affumicata,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
DeFilippisF_xxxx__DF_101__bin.18,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Carlino et al. 2024,MAG,NA,pecorino_bagnolese,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshAM_2017__ERR1981175__bin.3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp.,Pasolli et al. 2020,MAG,NA,nunu,dairy,Ghana,Ghana,prokaryote,MiFoDB_gamma_v1_prok
C-03.Ssa-BR,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp003521145,Kothe et al. 2021,MAG,NA,raw canastra cheese,dairy,Brazil,"Minas Gerais, Brazil",prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_UNINA_2__M-20__bin.5,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis_AA,Carlino et al. 2024,MAG,NA,raw_milk,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
AlvarezOrdonezA_xxxx__Q05-27__bin.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Carlino et al. 2024,MAG,NA,cheese_1_after_ripening;core,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
MASTER_WP4_TEAGASC_1__TGS14-28__bin.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus uberis,Carlino et al. 2024,MAG,NA,cheese_2_after_ripening;core,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
WalshAM_2020__ERS3466771__bin.2,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,Carlino et al. 2024,MAG,NA,tomme,dairy,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
EBC_113.1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tatumella,Tatumella ptyseos,This paper,MAG,NA,Mad ange pdc,fruit,United States of America,"Carnation, WA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
EBC_035.5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Tatumella,Tatumella sp.,This paper,MAG,NA,Stagiaire SB cider,fruit,United States of America,"San Francisco, CA, United States of America",prokaryote,MiFoDB_gamma_v1_prok
XieM_2019__SAMC044639__bin.26,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Telluria,Telluria timonae,Carlino et al. 2024,MAG,NA,dajiang-meju,legumes,NA,NA,prokaryote,MiFoDB_gamma_v1_prok
